sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B-53-6,143799,-0.22161983906711213,-0.032136190172860554,0.07870333324909332,-0.040682806379748755,0.020215293997420395,0.04302338911500646,0.014682314197422122,-0.008959086719529486,0.005499492316845686,0.007581039327827889,0.0035531258081406554,-0.0,0.0
B-60-14,143800,-0.2698526809366435,-0.05469091518469242,0.006630167833953291,-0.022535375599520804,-0.031880511995912485,-0.026571020647833177,-0.0035031715959769946,0.02790842375706851,0.026370268042608985,-0.004010499837245924,-0.004000839050714971,-0.0,0.0
B-60-15,143801,-0.26240761086262754,-0.023364359818613196,-0.055223284392444144,0.04242136482762402,0.011114059718899973,0.03317237609552647,0.022410287122327607,0.01637008768541555,-0.006202607562663353,-0.014767093741212881,-0.0049359701034823456,-0.0,0.0
B-6-16,143803,0.32943588585253086,-0.004537157512338163,-0.01204502389447264,-0.011481160952809556,0.013421036510369506,0.014702040447740898,-0.018395027251710716,0.007739843369890436,-0.001389993155036689,-0.03167414941210851,0.011064723781204188,-0.0,0.0
B-6-24,143804,0.31271963434428246,-0.01845466143930617,-0.03832453403794554,0.024365026993160784,0.012117879492525763,0.015005397677365749,0.013831479252213747,-0.01723914759921964,0.012357340630717344,0.018976512073772874,-0.004302861314549731,-0.0,0.0
B-6-7,143805,0.3295541081825245,-0.0023544234398837622,0.005075131927671555,-0.05131513417990637,0.025144636686790667,-0.010644442499718394,-0.0022579455440942192,0.018130574388766113,-0.02837105979530211,0.005733273985141391,-0.010313113277692671,-0.0,0.0
C1,143811,-0.2111224666868679,0.14271551516120154,-0.02260575404708738,-0.026800452677436845,-0.00199666753538524,0.0015830316833475285,0.010012641089296333,0.006548268210093719,0.008197504128063022,0.004208707858303978,0.001696806299107087,-0.0,0.0
S-53-20,143813,0.2637693682750774,-0.008583846180108892,-0.004264093491767277,0.015590277592187177,-0.062509357492749,0.012208104550586312,-0.003886467675626684,0.014564639579628778,-0.00841763903180367,0.02360376893135735,0.00815560139121966,-0.0,0.0
S-53-27,143814,0.14561511364232602,0.038369277975687725,0.08550749179882927,0.07382253515403717,0.013022463985753715,-0.01808855938611016,0.00040181902201501707,0.0072905492601236885,0.0020475763916312367,-0.005362140719873053,-0.0028773041636878183,-0.0,0.0
S-60-3,143815,-0.25209274691789874,-0.0028619235623495365,-0.02023879941252072,0.012824710264611967,0.028384778577600786,0.005291270893559437,-0.0568439435119525,-0.008593719201828026,0.004832321117391786,0.012520623014333156,-0.0016533966915954533,-0.0,0.0
S-60-5,143816,-0.23031514456408067,0.0029707092684689556,0.010075579196086327,-0.002081360632118047,-0.05603940749778925,-0.0016913474060251965,-0.005201773470449407,-0.03172875691286351,-0.02277473645974113,-0.015087768361569123,-0.004996171849078376,-0.0,0.0
S-60-9,143817,-0.267053888669037,-0.03190936702664773,-0.018717082702977228,0.006575979356970634,0.03156844717550501,-0.04729930760169217,0.018926453824658605,-0.007313275269114796,-0.016086620847675603,0.00827298827693238,0.01049230786155547,-0.0,0.0
S-br-8,143822,0.33337026740752546,-0.005162658068558091,-0.014573132026418306,-0.020703603767051406,-0.0025626516230278433,-0.020690932921752794,0.00982333454187887,-0.024718400548430917,0.02393815422496264,-0.009995261395658074,-0.0018829086904344461,-0.0,0.0
proportion_explained,0,0.9068088043869672,0.026922873831574535,0.019138878271566087,0.01386370248419005,0.011129164857514126,0.007125239773425541,0.004912889858797011,0.0037291529046505445,0.0031249655745070526,0.002743429515281047,0.0005008985415268155,0.0,0.0
