sample_id,state_colony_frgmt_ms,origin_ms,colony_ms,state,Observed,Pielou,Chao1,Shannon,Simpson,InvSimpson,Fisher,Faith_pd
S-6-17-16S,S_RS1_17,Red Sea,RS1,symbiotic,11,0.51,11,1.21,0.61,2.58,1.46,4.07
S-6-30-16S,S_RS1_30,Red Sea,RS1,symbiotic,13,0.46,13,1.18,0.58,2.4,1.77,4.65
S-6-31-16S,S_RS1_31,Red Sea,RS1,symbiotic,10,0.56,10,1.29,0.61,2.54,1.31,4.47
B-6-16-16S,B_RS1_16,Red Sea,RS1,bleached,50,0.84,50,3.29,0.93,15.06,8.72,21.55
B-6-24-16S,B_RS1_24,Red Sea,RS1,bleached,74,0.83,74,3.56,0.94,17.89,14.07,31.43
B-6-7-16S,B_RS1_7,Red Sea,RS1,bleached,42,0.73,42,2.73,0.87,7.55,7.07,19.35
S-53-17-16S,S_RS2_17,Red Sea,RS2,symbiotic,44,0.72,44.33,2.72,0.86,7.35,7.47,17.65
S-53-20-16S,S_RS2_20,Red Sea,RS2,symbiotic,67,0.77,67,3.24,0.91,10.83,12.45,27.97
S-53-27-16S,S_RS2_27,Red Sea,RS2,symbiotic,54,0.85,54,3.39,0.94,15.66,9.57,22.9
B-53-11-16S,B_RS2_11,Red Sea,RS2,bleached,29,0.57,29,1.91,0.67,3.07,4.54,12.91
B-53-43-16S,B_RS2_43,Red Sea,RS2,bleached,35,0.79,35,2.8,0.89,9.18,5.68,14.42
B-53-6-16S,B_RS2_6,Red Sea,RS2,bleached,33,0.79,33,2.78,0.91,10.87,5.29,14.42
S-60-5-16S,S_RS3_5,Red Sea,RS3,symbiotic,31,0.86,31,2.95,0.91,11.76,4.92,13.68
S-60-9-16S,S_RS3_9,Red Sea,RS3,symbiotic,45,0.88,45,3.36,0.95,22.11,7.68,20.09
B-60-14-16S,B_RS3_14,Red Sea,RS3,bleached,78,0.9,78,3.93,0.97,33.5,15.02,29.97
B-60-15-16S,B_RS3_15,Red Sea,RS3,bleached,63,0.88,63,3.64,0.96,25.5,11.55,23.86
B-60-25-16S,B_RS3_25,Red Sea,RS3,bleached,40,0.77,40,2.83,0.9,10.41,6.66,15.92
BROWN-SYM-6-16S,S_HK1_6,Hong Kong,HK1,symbiotic,49,0.82,49,3.18,0.93,13.79,8.51,21.69
BROWN-SYM-8-16S,S_HK1_8,Hong Kong,HK1,symbiotic,62,0.8,62,3.32,0.94,15.94,11.33,25.65
BROWN-B1-2-16S,B_HK1_2,Hong Kong,HK1,bleached,66,0.82,66.5,3.42,0.93,14.69,12.23,25.5
BROWN-BI-1-16S,B_HK1_1,Hong Kong,HK1,bleached,72,0.87,73,3.71,0.96,24.77,13.61,28.22
BROWN-BI-3-16S,B_HK1_3,Hong Kong,HK1,bleached,55,0.82,55,3.29,0.94,16.48,9.79,24.1
GREEN-SYM-4-16S,S_HK2_4,Hong Kong,HK2,symbiotic,55,0.75,55,3.01,0.9,9.96,9.79,22.18
GREEN-SYM-6-16S,S_HK2_6,Hong Kong,HK2,symbiotic,52,0.7,52,2.77,0.87,7.44,9.14,18.47
GREEN-SYM-7-16S,S_HK2_7,Hong Kong,HK2,symbiotic,47,0.78,47,3.01,0.91,10.98,8.09,19.02
GREEN-BI-1-16S,B_HK2_1,Hong Kong,HK2,bleached,46,0.77,46,2.95,0.91,10.81,7.88,18.37
GREEN-BI-2-16S,B_HK2_2,Hong Kong,HK2,bleached,35,0.7,35,2.49,0.85,6.72,5.68,14.89
